fonts-filesystem 2.0.5
gts 0.7.6
libgcab1 1.6
liblqr-1 0.4.2
low-memory-monitor 2.1
anaconda-user-help 26.2
adwaita-cursor-theme 45.0
adwaita-icon-theme 45.0
libcanberra-gtk3 0.30
langpacks-en 4.0
xorg-x11-drv-libinput 1.4.0
gnome-desktop3 44.0
gnome-desktop4 44.0
gnome-online-accounts 3.48.0
libgdata 0.18.1
clutter 1.26.4
gnome-session 45.0
tecla 45.0
grilo 0.3.16
libreport-gtk 2.17.11
gnome-abrt 1.4.2
clutter-gtk 1.8.4
gtksourceview5 5.10.0
libportal-gtk4 0.7.1
gcr3 3.41.1
gnome-keyring 42.1
gnome-autoar 0.4.4
gtkmm3.0 3.24.8
gnome-keyring-pam 42.1
python3-meh-gui 0.51
grilo-plugins 0.3.16
clutter-gst3 3.0.27
cheese-libs 44.1
yelp-libs 42.2
yelp 42.2
NetworkManager-ssh 1.2.12
gnome-tour 45.0
malcontent-ui-libs 0.11.1
malcontent-control 0.11.1
colord-gtk4 0.3.0
gcr 4.1.0
abrt-gui-libs 2.17.1
abrt-gui 2.17.1
anaconda-widgets 39.32.6
blivet-gui-runtime 2.4.2
brasero-libs 3.12.3
gnome-color-manager 3.36.0
gspell 1.12.2
gtk-vnc2 1.3.1
gtksourceview4 4.8.4
kasumi-unicode 2.5
ibus-anthy-python 1.5.15
ibus-anthy 1.5.15
keybinder3 0.3.2
libgnomekbd 3.28.1
libportal-gtk3 0.7.1
libtimezonemap 0.4.5.2
anaconda-gui 39.32.6
anaconda 39.32.6
spice-gtk3 0.42
system-config-printer-libs 1.5.18
xdg-user-dirs-gtk 0.11
gdm 45.0.1
gnome-session-wayland-session 45.0
gnome-session-xsession 45.0
adobe-mappings-pdf 20190401
braille-printer-app 2.0~b0^386eea385f
libspectre 0.2.12
evince-djvu 45.0
evince-libs 45.0
evince-previewer 45.0
evince-thumbnailer 45.0
evince 45.0
sushi 45.0
gutenprint-cups 5.3.4
gnome-browser-connector 42.1
gnome-shell-extension-background-logo 45~beta
gnome-initial-setup 45.0
system-config-printer-udev 1.5.18
gnome-boxes 45.0
kdump-anaconda-addon 006
anaconda-live 39.32.6
totem 43.0
gnome-connections 45.0
rhythmbox 3.4.7
abrt-desktop 2.17.1
unoconv 0.9.0
NetworkManager-ssh-gnome 1.2.12
cheese 44.1
gnome-contacts 45.0
gnome-system-monitor 45.0.2
NetworkManager-vpnc-gnome 1.2.8
NetworkManager-openconnect-gnome 1.2.10
gnome-calculator 45.0.2
NetworkManager-openvpn-gnome 1.10.2
NetworkManager-pptp-gnome 1.2.12
gnome-characters 45.0
gnome-clocks 45.0
ibus-hangul 1.5.5
simple-scan 44.0
xorg-x11-drv-amdgpu 23.0.0
xorg-x11-drv-ati 19.1.0
xorg-x11-drv-evdev 2.10.6
xorg-x11-drv-fbdev 0.5.0
xorg-x11-drv-intel 2.99.917
xorg-x11-drv-nouveau 1.0.17
xorg-x11-drv-openchrome 0.6.400
xorg-x11-drv-qxl 0.1.6
xorg-x11-drv-vesa 2.5.0
xorg-x11-drv-vmware 13.4.0
xorg-x11-drv-wacom 1.2.0
baobab 45.0
